dataset_size,dataset,fold,model_type,split,n_samples,r2,mae,rmse,nmae,accuracy,macro_f1,training_s,prediction_s
50000,dataV1_50000,2,svm,train,40000,0.9851662328466668,1.7773723895297249,2.454908865073223,0.0197881584227312,0.903675,0.8272532289849494,150.72811839170754,131.80180273205042
50000,dataV1_50000,2,svm,test,10000,0.9841010796087012,1.8193907693092832,2.5426196583956227,0.0206655016959255,0.9007,0.8174139331613861,150.72811839170754,31.85968425311148
50000,dataV1_50000,2,rf,train,40000,0.9998247627982032,0.1448552766666673,0.266822715824155,0.0016127285311363,0.991725,0.9818270563623844,10.473499616608024,1.3503724224865437
50000,dataV1_50000,2,rf,test,10000,0.9985956392304784,0.4042977266666662,0.7556782588553578,0.0045922049825836,0.9791,0.9786487993975836,10.473499616608024,0.5304249245673418
50000,dataV1_50000,2,xgboost,train,40000,0.9997229178521092,0.2229511385383605,0.335516527400403,0.0024821992711908,0.987675,0.981456815799088,2.0905711874365807,0.318242447450757
50000,dataV1_50000,2,xgboost,test,10000,0.9995770197711904,0.2592205567626953,0.4147225182526262,0.0029443498042105,0.9876,0.9880863797595428,2.0905711874365807,0.1054881382733583
50000,dataV1_50000,2,lightgbm,train,40000,0.9995486240186884,0.2750464514366064,0.4282317545031327,0.0030621960747785,0.985525,0.9745501979012215,10.535325510427356,0.1574032474309206
50000,dataV1_50000,2,lightgbm,test,10000,0.9993857028345878,0.3083200590832367,0.4997891672598449,0.0035020451963111,0.9865,0.980791255383236,10.535325510427356,0.0509069859981536
50000,dataV1_50000,3,lr,train,40000,0.7576055921839269,7.824338933993431,9.923067519880226,0.0887515759300525,0.551225,0.4783797456367982,0.1861196085810661,0.0569498613476753
50000,dataV1_50000,3,lr,test,10000,0.749501121948666,7.93924311618839,10.094873702981772,0.0884004355437967,0.5427,0.4654661383010197,0.1861196085810661,0.0183350723236799
50000,dataV1_50000,3,mpr,train,40000,0.8891556232419463,5.314749742432873,6.710292962100818,0.0602852738479227,0.7302,0.6170681848410379,25.78727051615715,72.49731509760022
50000,dataV1_50000,3,mpr,test,10000,0.893343982273688,5.357952095367818,6.587045743602263,0.0596587473039507,0.7245,0.6212965439695451,25.78727051615715,0.0471517983824014
50000,dataV1_50000,3,svm,train,40000,0.9851887805083788,1.7742756331338878,2.452901209255188,0.0201256310473444,0.904375,0.8255523444395335,141.38661276362836,118.76894694007932
50000,dataV1_50000,3,svm,test,10000,0.9850444514602708,1.783662919600467,2.466602518968123,0.0198604044048598,0.9015,0.816777713592888,141.38661276362836,23.81935532391072
50000,dataV1_50000,3,rf,train,40000,0.9998295716516924,0.144453656666669,0.2631210332484321,0.0016385396627344,0.9923,0.9859143078728024,11.10311746224761,0.7492449171841145
50000,dataV1_50000,3,rf,test,10000,0.9986030103128516,0.3983910366666666,0.7538667649126647,0.0044359318190253,0.9793,0.972551025065674,11.10311746224761,0.3692915085703134
50000,dataV1_50000,3,xgboost,train,40000,0.9997300710815986,0.2229114652519226,0.3311382548139193,0.0025284875822586,0.98755,0.9838809776184586,7.429619928821921,0.0978508368134498
50000,dataV1_50000,3,xgboost,test,10000,0.9995952205029704,0.2603439878997802,0.4057955222766786,0.0028988307304284,0.986,0.9666531170862176,7.429619928821921,0.0670705400407314
50000,dataV1_50000,3,lightgbm,train,40000,0.9995353871166756,0.2803771092519087,0.4344404676218719,0.003180321112204,0.9861,0.9759309760312482,5.243807589635253,0.2146529518067836
50000,dataV1_50000,3,lightgbm,test,10000,0.9993625622376724,0.3142412278059049,0.509233412294506,0.0034989558824841,0.983,0.969116520404876,5.243807589635253,0.0578035600483417
